hotel_id,name,star,score,review_count,address,scraped_at
135237312,次元引擎电竞酒店,0,5.0,10,象鼻街道恒通街155号,2026-09-14 09:06:08
33530143,文若时尚酒店(宜宾临港新天地万象汇店),2,4.8,345,龙头山路199号浙商临港新天地6号楼21层,2026-09-14 09:06:08
134394273,怡江民宿,2,4.7,1,三江路长江公馆1号楼703,2026-09-14 09:06:08
116491582,宜宾云澜时光酒店(翠屏区政务中心未来广场店),3,4.5,597,盛达街未来广场云澜B座5楼,2026-09-14 09:06:08
129318922,木子唧民宿(宜宾大学城店),2,4.4,17,大学路1号1期26栋1楼,2026-09-14 09:06:08
62499991,维也纳酒店(宜宾西站万象天地店),3,4.7,820,金沙江南路东段财富金街57号鑫悦湾二期,2026-09-14 09:06:08
75399910,九天酒店(宜宾西区公馆叁号店),2,4.3,380,南岸西区一期南丝绸路公馆叁号3幢1层15号,2026-09-14 09:06:08
96257989,蜀南竹海云居酒店(海中海店),4,4.8,412,竹海镇农林村3组,2026-09-14 09:06:08
66661932,唐人阳光度假院子客栈(宜宾站店),2,4.8,1054,西区翟湾路唐人财富中心5号楼3楼,2026-09-14 09:06:08
97943525,空港·花漫岭酒店(宜宾五粮液机场店),3,4.6,198,陆鹰大道五粮液村一组66号,2026-09-14 09:06:08
92662303,宜宾凯和尚悦酒店(柏溪翠柏商贸城店),3,4.6,767,柏溪街道保龄街富力城中央公寓1幢3层3号,2026-09-14 09:06:08
43946945,乐善鑫濠影院主题酒店(宜宾高铁西站店),2,4.6,475,金沙江大道宜都崇文综合楼11-12楼,2026-09-14 09:06:08
5993546,乐善酒店(宜宾学院吾悦广场店),2,4.7,667,上江北伊顿公馆5幢,2026-09-14 09:06:08
131705493,宜宾蓝枫酒店(五粮液生态园宜宾学院店),3,4.7,221,安阜街道红丰东路19号2幢1层,2026-09-14 09:06:08
119725449,宜宾栖栈休闲民宿(高铁西站店),2,4.9,46,南八街高铁城际公馆2号楼8楼808,2026-09-14 09:06:08
115182314,漫时光自助民宿(宜宾高铁西站店),2,4.6,53,南丝绸路公馆叁号一栋9层,2026-09-14 09:06:08
107447506,你好酒店(宜宾西站万象天地店),2,4.8,364,金沙江南路东段碧桂园时代之光8号楼1单元,2026-09-14 09:06:08
114521645,蜀龙酒店(宜宾大观楼冠英古街店),2,4.1,334,大观楼街道清华街2号,2026-09-14 09:06:08
121135605,宜宾禧悦酒店(宜宾学院五粮液生态园),3,4.4,424,象鼻街道大地花园10号楼二层2-1号,2026-09-14 09:06:08
90942787,梵拉图·芒果酒店(宜宾临港客运站店),2,4.5,988,临港经开区白沙组团光明路东段临港汽车客运站二层,2026-09-14 09:06:08
82228529,橘子智慧自助民宿(宜宾临港店),2,4.9,20,临港开发区护国路恒旭铜雀台7幢2单元13层1号,2026-09-14 09:06:08
134675223,宜居酒店(四川轻化工大学店),0,4.8,91,李湾路恒旭银座1幢,2026-09-14 09:06:08
85456638,宜宾高铁站麓柏酒店,3,4.9,526,望江路丽雅大院60栋,2026-09-14 09:06:08
134917920,栖江悦精品民宿(宜宾合江门广场大观楼店),2,4.9,115,南岸街道下渡口路11号2幢2号,2026-09-14 09:06:08
112842407,宜宾长宁蜀山南客栈,4,4.9,82,铜锣镇大坝村四组27号,2026-09-14 09:06:08
6662888,九天酒店(五粮液东大门店),2,4.0,83,五粮液大道旧州路,2026-09-14 09:06:08
98984252,淼淼星河酒店(宜宾国际会展中心西部食品城店),2,4.7,30,港园路西段5号西部食品商贸城17幢3层,2026-09-14 09:06:08
127002798,宜宾雅晨酒店(上江北五粮液生态园店),2,4.6,220,安阜街道上江北铁肩街39号1幢2层附3号,2026-09-14 09:06:08
68080721,吉菲酒店(宜宾万象汇四川轻化工大学店),3,4.6,729,李湾路恒旭银座1幢,2026-09-14 09:06:08
134867777,花屿麓花园民宿,2,4.7,16,利群路量典CFC13栋301,2026-09-14 09:06:08
134822025,镜江·悦江畔民宿,2,4.9,21,环长江景观大道1号1层,2026-09-14 09:06:08
114932108,栖肆·美墅7号民宿,2,4.9,37,龙峰村1组145号,2026-09-14 09:06:08
133835616,宜宾•伽倍得|Elegant.Cozy.S影音轻居(高铁西站店),2,4.4,165,金沙江南路东段城际公馆2号楼9层9-15号,2026-09-14 09:06:08
134469732,宜见青旅,2,4.7,26,合江门街道鲁家园16号2单元3层4号,2026-09-14 09:06:08
100697217,优享智慧酒店(宜宾临港大学城店),2,4.5,105,临港开发区李湾路1号正黄金色领地8栋4楼,2026-09-14 09:06:08
134388119,青梧里酒店(宜宾国际会展中心大学城店),3,4.6,58,长江北路西段附二段大数据产业园D座1层,2026-09-14 09:06:08
133953367,廖旭民宿,2,,,西丘路百山村村委会东北方向150米,2026-09-14 09:06:08
1315174,由里尚雅智慧酒店(宜宾柏溪店),2,4.4,664,柏溪镇金江路152号,2026-09-14 09:06:08
